zip_code,latitude,longitude,city,state,county,community,estimated median income
90001.0,33.973951,-118.248405,Los Angeles,CA,Los Angeles,"Los Angeles (South Los Angeles), Florence-Graham","$38,521 "
90002.0,33.950514,-118.245855,Los Angeles,CA,Los Angeles,"Los Angeles (Southeast Los Angeles, Watts)","$35,410 "
90003.0,33.949164,-118.273156,Los Angeles,CA,Los Angeles,"Los Angeles (South Los Angeles, Southeast Los Angeles)","$37,226 "
90004.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)","$48,754 "
90005.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)","$35,149 "
90006.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)","$35,411 "
90007.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Southeast Los Angeles, Univerity Park)","$25,226 "
90008.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)","$39,907 "
90010.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)","$61,849 "
90011.0,33.989264,-118.250056,Los Angeles,CA,Los Angeles,Los Angeles (Southeast Los Angeles),"$36,954 "
90012.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)","$42,275 "
90013.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Downtown Central, Downtown Fashion District)","$21,676 "
90014.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Downtown Historic Core, Arts District)","$35,857 "
90015.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Dowtown Fashion District, South Park-South)","$39,016 "
90016.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (West Adams),"$46,680 "
90017.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Downtown Bunker Hill, City West, South Park-North)","$31,423 "
